	etapa	sp	codigo.sp
1	dispersao	Eichhornia_crassipes	EICR
2	estabelecimento	Eichhornia_crassipes	EICR
3	dispersao	Eichhornia_crassipes	EICR
4	dispersao	Eichhornia_crassipes	EICR
5	estabelecimento	Eichhornia_crassipes	EICR
6	dispersao	Eichhornia_crassipes	EICR
7	dispersao	Eichhornia_crassipes	EICR
8	impacto	Eichhornia_crassipes	EICR
9	dispersao	Eichhornia_crassipes	EICR
10	impacto	Eichhornia_crassipes	EICR
11	introducao	Eichhornia_crassipes	EICR
12	dispersao	Eichhornia_crassipes	EICR
13	impacto	Eichhornia_crassipes	EICR
14	dispersao	Eichhornia_crassipes	EICR
15	estabelecimento	Eichhornia_crassipes	EICR
16	impacto	Eichhornia_crassipes	EICR
17	impacto	Eichhornia_crassipes	EICR
18	dispersao	Eichhornia_crassipes	EICR
19	estabelecimento	Eichhornia_crassipes	EICR
20	estabelecimento	Eichhornia_crassipes	EICR
21	introducao	Eichhornia_crassipes	EICR
22	colonizacao	Eichhornia_crassipes	EICR
23	estabelecimento	Eichhornia_crassipes	EICR
24	estabelecimento	Eichhornia_crassipes	EICR
25	estabelecimento	Eichhornia_crassipes	EICR
26	dispersao	Eichhornia_crassipes	EICR
27	dispersao	Eichhornia_crassipes	EICR
28	impacto	Eichhornia_crassipes	EICR
29	dispersao	Eichhornia_crassipes	EICR
30	dispersao	Eichhornia_crassipes	EICR
31	estabelecimento	Hydrilla_verticillata	HYVE
32	estabelecimento	Hydrilla_verticillata	HYVE
33	dispersao	Hydrilla_verticillata	HYVE
34	impacto	Hydrilla_verticillata	HYVE
35	impacto	Hydrilla_verticillata	HYVE
36	colonizacao	Hydrilla_verticillata	HYVE
37	impacto	Hydrilla_verticillata	HYVE
38	dispersao	Hydrilla_verticillata	HYVE
39	colonizacao	Hydrilla_verticillata	HYVE
40	colonizacao	Hydrilla_verticillata	HYVE
41	estabelecimento	Hydrilla_verticillata	HYVE
42	colonizacao	Hydrilla_verticillata	HYVE
43	colonizacao	Hydrilla_verticillata	HYVE
44	colonizacao	Hydrilla_verticillata	HYVE
45	impacto	Hydrilla_verticillata	HYVE
46	estabelecimento	Hydrilla_verticillata	HYVE
47	colonizacao	Hydrilla_verticillata	HYVE
48	colonizacao	Hydrilla_verticillata	HYVE
49	impacto	Hydrilla_verticillata	HYVE
50	impacto	Hydrilla_verticillata	HYVE
51	estabelecimento	Hydrilla_verticillata	HYVE
52	estabelecimento	Hydrilla_verticillata	HYVE
53	impacto	Urochloa_arrecta	URAR
54	dispersao	Urochloa_arrecta	URAR
55	impacto	Urochloa_arrecta	URAR
56	impacto	Urochloa_arrecta	URAR
57	colonizacao	Urochloa_arrecta	URAR
58	impacto	Urochloa_arrecta	URAR
59	colonizacao	Urochloa_arrecta	URAR
60	impacto	Urochloa_arrecta	URAR
61	colonizacao	Urochloa_arrecta	URAR
62	dispersao	Urochloa_arrecta	URAR
63	impacto	Urochloa_arrecta	URAR
64	colonizacao	Urochloa_arrecta	URAR
65	estabelecimento	Urochloa_arrecta	URAR
66	dispersao	Urochloa_arrecta	URAR
67	impacto	Urochloa_arrecta	URAR
68	colonizacao	Salvinia_molesta	SAMO
69	estabelecimento	Salvinia_molesta	SAMO
70	dispersao	Salvinia_molesta	SAMO
71	estabelecimento	Salvinia_molesta	SAMO
72	estabelecimento	Salvinia_molesta	SAMO
73	estabelecimento	Salvinia_molesta	SAMO
74	estabelecimento	Salvinia_molesta	SAMO
75	dispersao	Salvinia_molesta	SAMO
76	impacto	Salvinia_molesta	SAMO
77	dispersao	Pistia_stratiotes	PIST
78	dispersao	Pistia_stratiotes	PIST
79	dispersao	Pistia_stratiotes	PIST
80	impacto	Pistia_stratiotes	PIST
81	colonizacao	Pistia_stratiotes	PIST
82	dispersao	Pistia_stratiotes	PIST
83	impacto	Pistia_stratiotes	PIST
84	dispersao	Alternanthera_philoxeroides	ALPH
85	estabelecimento	Alternanthera_philoxeroides	ALPH
86	estabelecimento	Alternanthera_philoxeroides	ALPH
87	colonizacao	Alternanthera_philoxeroides	ALPH
88	impacto	Alternanthera_philoxeroides	ALPH
89	impacto	Hedichium_coronarium	HECO
90	impacto	Hedichium_coronarium	HECO
91	estabelecimento	Hedichium_coronarium	HECO
92	impacto	Hedichium_coronarium	HECO
93	impacto	Hedichium_coronarium	HECO
94	impacto	Urochloa_mutica	URMU
95	colonizacao	Urochloa_mutica	URMU
96	estabelecimento	Urochloa_mutica	URMU
97	impacto	Urochloa_mutica	URMU
98	impacto	Urochloa_mutica 	URMU
99	estabelecimento	Cabomba_caroliniana	CACA
100	estabelecimento	Cabomba_caroliniana	CACA
101	estabelecimento	Cabomba_caroliniana	CACA
102	impacto	Cabomba_caroliniana	CACA
103	dispersao	Egeria_densa	EGDE
104	introducao	Egeria_densa	EGDE
105	impacto	Egeria_densa	EGDE
106	impacto	Egeria_densa	EGDE
107	colonizacao	Ceratophyllum_demersum 	CEDE
108	introducao	Ceratophyllum_demersum 	CEDE
109	estabelecimento	Ceratophyllum_demersum 	CEDE
110	introducao	Colocasia_esculenta	COES
111	colonizacao	Colocasia_esculenta	COES
112	colonizacao	Colocasia_esculenta	COES
113	dispersao	Halophila_stipulacea	HAST
114	estabelecimento	Halophila_stipulacea	HAST
115	dispersao	Halophila_stipulacea	HAST
116	introducao	Myriophyllum_aquaticum	MYAQ
117	dispersao	Myriophyllum_aquaticum	MYAQ
118	estabelecimento	Myriophyllum_aquaticum	MYAQ
119	dispersao	Azolla_filiculoides	AZFI
120	dispersao	Azolla_filiculoides	AZFI
121	colonizacao	Hydrocleys_nymphoides	HYNY
122	impacto	Hydrocleys_nymphoides	HYNY
123	impacto	Hymenachne_amplexicaulis	HYAM
124	colonizacao	Hymenachne_amplexicaulis	HYAM
125	estabelecimento	Spartina_alterniflora	SPAL
126	impacto	Spartina_alterniflora	SPAL
